compound,logP,split,stratum
c16_t8_10_lp02_22_32_42_132_162_Sgn13_14_15ht_Poly,4.1869001388549805,validation,
c16_t8_10_lp122_152_Sgn12_13_14ht_Triton_X-100,7.230000019073486,validation,
TN3d,-0.24523884057998657,validation,
HEaSC00596,-0.22290000319480896,validation,
Dimethenamid_OA,7.040200233459473,validation,
HEaSC00262,0.8567000031471252,validation,
HEaSC00378,1.885699987411499,validation,
o-Cresol,4.5472002029418945,validation,
4-hydroxyacetophenone,5.099100112915039,validation,
HEaSC00536,-2.0789999961853027,validation,
HEaSC00313,1.2431999444961548,validation,
P1d,0.035034120082855225,validation,
4-hydroxyPhenol,3.3756000995635986,validation,
HEaSC00064,-1.2293000221252441,validation,
Simetryn,0.029600000008940697,validation,
HEaSC00527,1.1753000020980835,validation,
SP1,-0.9108871221542358,validation,
HEaSC00161,-1.7620999813079834,validation,
Diflubenzuron,10.462800025939941,validation,
Octyl_salicylate,7.555500030517578,validation,
HEaSC00061,0.978600025177002,validation,
HEaSC00446,0.8097000122070312,validation,
HEaSC00472,-1.1543999910354614,validation,
Pyrimethanil,9.01609992980957,validation,
HEaSC00253,-1.8351999521255493,validation,
HEaSC00505,-0.40400001406669617,validation,
HEaSC00263,0.8792999982833862,validation,
"3,4-dimethoxyPhenol",6.584099769592285,validation,
4-Hydroxybenzoic_acid,3.248500108718872,validation,
HEaSC00417,-1.284999966621399,validation,
P3,-0.8933700919151306,validation,
N6,-0.19268766045570374,validation,
SX1,1.6466037034988403,validation,
HEaSC00451,-0.557200014591217,validation,
HEaSC00228,-0.60589998960495,validation,
3_4-Dihydro-6-methyl-N-phenyl-2H-pyran-5-carboxami,5.6875,validation,
HEaSC00296,-0.19499999284744263,validation,
HEaSC00043,0.675599992275238,validation,
HEaSC00089,1.8788000345230103,validation,
SQ5,-3.1881051063537598,validation,
X1,2.504939556121826,validation,
HEaSC00418,0.771399974822998,validation,
HEaSC00575,0.40400001406669617,validation,
HEaSC00604,2.7964000701904297,validation,
Mepronil,10.913700103759766,validation,
Dimethenamide_ESA,5.798999786376953,validation,
HEaSC00359,-0.03830000013113022,validation,
HEaSC00331,-1.8631000518798828,validation,
Dicamba-dimethylammonium,5.349800109863281,validation,
HEaSC00187,-0.679099977016449,test,
3-Ethoxy-4-hydroxybenzaldehyde,6.175000190734863,test,
HEaSC00255,1.3686000108718872,test,
SN1,0.630614161491394,test,
SN3,-0.315307080745697,test,
HEaSC00338,-1.5896999835968018,test,
HEaSC00063,1.3476999998092651,test,
Ethiofencarb,4.531599998474121,test,
HEaSC00038,2.2913999557495117,test,
TN5,-0.8583359718322754,test,
TP2a,-1.1911600828170776,test,
HEaSC00364,-0.2612000107765198,test,
HEaSC00273,-0.2506999969482422,test,
Butylated_hydroxytoluene,8.67140007019043,test,
X3,2.4348714351654053,test,
Dimethenamid,8.307600021362305,test,
Dinobuton,6.235899925231934,test,
TQ3,-3.2756903171539307,test,
Monuron,3.6124000549316406,test,
HEaSC00404,0.18979999423027039,test,
Cycloate,5.412499904632568,test,
HEaSC00379,1.8248000144958496,test,
HEaSC00297,-0.10970000177621841,test,
Fipronil_Sulfide,9.64109992980957,test,
HEaSC00167,-2.387200117111206,test,
C2,2.592525005340576,test,
2_6-Di-tert-butyl-4-methoxyPhenol,9.815199851989746,test,
HEaSC00382,0.20720000565052032,test,
HEaSC00322,1.419100046157837,test,
HEaSC00484,-0.58160001039505,test,
N2d,1.3663307428359985,test,
4-phenylenediamine,1.7948999404907227,test,
HEaSC00374,4.074399948120117,test,
